id,proyecto,parametro,justificacion_texto_resumen,tipo_justificacion,justificacion_url,fecha_consulta,notas
295,cassandra,cas_contention_timeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
301,cassandra,slow_query_log_timeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
159,hdfs,dfs.client.datanode-restart.timeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
170,hdfs,dfs.client.mmap.cache.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
195,hdfs,dfs.client.socketcache.expiryMsec,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
152,hdfs,dfs.client.write.exclude.nodes.cache.expiry.interval.millis,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
153,hdfs,dfs.namenode.checkpoint.period,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
215,hdfs,dfs.namenode.lease-hard-limit-sec,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
178,hdfs,dfs.namenode.lease-recheck-interval-ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
207,hdfs,dfs.qjournal.prepare-recovery.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
208,hdfs,dfs.qjournal.select-input-streams.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
145,kafka,auto.commit.interval.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
76,kafka,connection.failed.authentication.delay.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
34,kafka,connections.max.idle.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
134,kafka,default.api.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
117,kafka,delivery.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
51,kafka,group.consumer.min.session.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
118,kafka,linger.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
98,kafka,log.retention.hours,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
102,kafka,log.roll.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
73,kafka,remote.fetch.max.wait.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
111,kafka,remote.log.manager.task.interval.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
116,kafka,request.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
143,kafka,retry.backoff.max.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
126,kafka,retry.backoff.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
82,kafka,sasl.oauthbearer.jwks.endpoint.retry.backoff.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
33,kafka,zookeeper.connection.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
32,kafka,zookeeper.session.timeout.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
28,tomcat,selectorTimeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
27,tomcat,socket.soTimeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
219,yarn,yarn.am.liveness-monitor.expiry-interval-ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
260,yarn,yarn.client.application-client-protocol.poll-timeout-ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
234,yarn,yarn.log-aggregation-status.time-out.ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
235,yarn,yarn.nodemanager.health-checker.timeout-ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
236,yarn,yarn.nodemanager.linux-container-executor.cgroups.delete-delay-ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
261,yarn,yarn.resourcemanager.node-removal-untracked.timeout-ms,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
245,yarn,yarn.resourcemanager.proxy.connection.timeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
250,yarn,yarn.timeline-service.client.internal-timers-ttl-secs,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
1,zookeeper,tickTime,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
12,zookeeper,zookeeper.request_throttler.shutdownTimeout,PENDIENTE,PENDIENTE,PENDIENTE,PENDIENTE,
